DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
08/08/2011;00:00:01;393393;78.41;77.67;77.45;78.47
08/09/2011;00:00:01;364091;77.67;77.14;76.66;77.84
08/10/2011;00:00:01;428630;77.14;76.83;76.31;77.16
08/11/2011;00:00:01;434820;76.83;76.93;76.27;77.23
08/12/2011;00:00:01;297572;76.93;76.66;76.47;77.03
08/15/2011;00:00:01;239430;76.71;76.81;76.55;77.1
08/16/2011;00:00:01;218673;76.81;76.73;76.61;76.94
08/17/2011;00:00:01;225594;76.73;76.61;76.37;76.8
08/18/2011;00:00:01;200209;76.61;76.63;76.4;76.72
08/19/2011;00:00:01;233970;76.63;76.48;75.95;76.98
08/22/2011;00:00:01;325622;76.53;76.92;76.52;77.22
08/23/2011;00:00:01;215641;76.91;76.65;76.43;76.92
08/24/2011;00:00:01;227087;76.65;77.02;76.42;77.09
08/25/2011;00:00:01;257691;77.01;77.41;76.81;77.7
08/26/2011;00:00:01;207603;77.4;76.64;76.46;77.47
08/29/2011;00:00:01;217552;76.69;76.94;76.53;77.03
08/30/2011;00:00:01;203944;76.94;76.71;76.56;76.96
08/31/2011;00:00:01;208478;76.71;76.76;76.39;76.85
09/01/2011;00:00:01;264983;76.76;76.88;76.66;77.24
09/02/2011;00:00:01;211207;76.87;76.8;76.51;76.98
09/05/2011;00:00:01;226135;76.85;76.93;76.64;76.99
09/06/2011;00:00:01;340435;76.93;77.53;76.68;77.73
09/07/2011;00:00:01;305579;77.53;77.35;77.03;77.55
09/08/2011;00:00:01;315061;77.35;77.56;77.1;77.61
09/09/2011;00:00:01;335825;77.56;77.59;77.06;77.87
09/12/2011;00:00:01;394154;77.54;77.19;76.7;77.6
09/13/2011;00:00:01;334838;77.19;76.94;76.76;77.26
09/14/2011;00:00:01;319863;76.94;76.71;76.55;77.07
09/15/2011;00:00:01;308802;76.72;76.72;76.5;77.33
09/16/2011;00:00:01;281833;76.72;76.77;76.6;76.98
09/18/2011;00:00:01;13674;76.77;76.94;76.77;76.97
09/19/2011;00:00:01;215782;76.958;76.68;76.31;76.98
09/20/2011;00:00:01;158114;76.68;76.3975;76.359;76.76
09/21/2011;00:00:01;100120;76.397;76.632;76.118;76.738
09/22/2011;00:00:01;100794;76.6415;76.26;76.1065;76.963
09/23/2011;00:00:01;69836;76.256;76.635;76.1525;76.886
